Mentions Trend

Mentions Trend
Date,Count
"2023-04-18 00:00:00",1886,
"2023-04-19 00:00:00",758,
"2023-04-20 00:00:00",1090,
"2023-04-21 00:00:00",1366,
"2023-04-22 00:00:00",337,
"2023-04-23 00:00:00",2367,
"2023-04-24 00:00:00",1002,
"2023-04-25 00:00:00",2338,
"2023-04-26 00:00:00",1014,
"2023-04-27 00:00:00",2765,
"2023-04-28 00:00:00",1686,
"2023-04-29 00:00:00",295,
"2023-04-30 00:00:00",438,
"2023-05-01 00:00:00",2819,
"2023-05-02 00:00:00",693,
"2023-05-03 00:00:00",2093,
"2023-05-04 00:00:00",867,
"2023-05-05 00:00:00",2647,
"2023-05-06 00:00:00",1069,
"2023-05-07 00:00:00",2886,
"2023-05-08 00:00:00",645,
"2023-05-09 00:00:00",2886,
"2023-05-10 00:00:00",1768,
"2023-05-11 00:00:00",5057,
"2023-05-12 00:00:00",2039,
"2023-05-13 00:00:00",763,
"2023-05-14 00:00:00",9029,
"2023-05-15 00:00:00",2302,
"2023-05-16 00:00:00",1220,
"2023-05-17 00:00:00",3097,
"2023-05-18 00:00:00",952,
"2023-05-19 00:00:00",3453,
"2023-05-20 00:00:00",1487,
"2023-05-21 00:00:00",3737,
"2023-05-22 00:00:00",1732,
"2023-05-23 00:00:00",4081,
"2023-05-24 00:00:00",1541,
"2023-05-25 00:00:00",3914,
"2023-05-26 00:00:00",2125,
"2023-05-27 00:00:00",6549,
"2023-05-28 00:00:00",5361,
"2023-05-29 00:00:00",8750,
"2023-05-30 00:00:00",2959,
"2023-05-31 00:00:00",875,
"2023-06-01 00:00:00",807,
"2023-06-02 00:00:00",354,
"2023-06-03 00:00:00",280,
"2023-06-04 00:00:00",617,
"2023-06-05 00:00:00",275,
"2023-06-06 00:00:00",200,
"2023-06-07 00:00:00",244,
"2023-06-08 00:00:00",271,
"2023-06-09 00:00:00",263,
"2023-06-10 00:00:00",251,
"2023-06-11 00:00:00",399,
"2023-06-12 00:00:00",256,
"2023-06-13 00:00:00",412,
"2023-06-14 00:00:00",465,
"2023-06-15 00:00:00",523,
"2023-06-16 00:00:00",254,
"2023-06-17 00:00:00",162,
"2023-06-18 00:00:00",181,
"2023-06-19 00:00:00",374,
"2023-06-20 00:00:00",220,
"2023-06-21 00:00:00",1412,
"2023-06-22 00:00:00",2900,
"2023-06-23 00:00:00",2677,
"2023-06-24 00:00:00",468,
"2023-06-25 00:00:00",331,
"2023-06-26 00:00:00",502,
"2023-06-27 00:00:00",566,
"2023-06-28 00:00:00",545,
"2023-06-29 00:00:00",502,
"2023-06-30 00:00:00",922,
"2023-07-01 00:00:00",490,
"2023-07-02 00:00:00",691,
"2023-07-03 00:00:00",800,
"2023-07-04 00:00:00",379,
"2023-07-05 00:00:00",876,
"2023-07-06 00:00:00",754,
"2023-07-07 00:00:00",366,
"2023-07-08 00:00:00",734,
"2023-07-09 00:00:00",412,
"2023-07-10 00:00:00",381,
"2023-07-11 00:00:00",273,
"2023-07-12 00:00:00",699,
"2023-07-13 00:00:00",564,
"2023-07-14 00:00:00",556,
"2023-07-15 00:00:00",400,
"2023-07-16 00:00:00",281,
"2023-07-17 00:00:00",250,
"2023-07-18 00:00:00",212,
"2023-07-19 00:00:00",206,
"2023-07-20 00:00:00",276,
"2023-07-21 00:00:00",485,
"2023-07-22 00:00:00",180,
"2023-07-23 00:00:00",102,
"2023-07-24 00:00:00",148,
"2023-07-25 00:00:00",1809,
"2023-07-26 00:00:00",1256,
"2023-07-27 00:00:00",794,
"2023-07-28 00:00:00",542,
"2023-07-29 00:00:00",145,
"2023-07-30 00:00:00",136,
"2023-07-31 00:00:00",232,
"2023-08-01 00:00:00",152,
"2023-08-02 00:00:00",124,
"2023-08-03 00:00:00",158,
"2023-08-04 00:00:00",144,
"2023-08-05 00:00:00",137,
"2023-08-06 00:00:00",101,
"2023-08-07 00:00:00",180,
"2023-08-08 00:00:00",168,
"2023-08-09 00:00:00",427,
